Age  April 1, 2010	Population Estimates (as of July 1)
Census	Estimates Base	2010	2011
Both Sexes	Male	Female	Both Sexes	Male	Female	Both Sexes	Male	Female	Both Sexes	Male	Female
75	1,620,077	721,008	899,069	1,620,077	721,008	899,069	1,631,575	725,538	906,037	1,638,322	732,882	905,440
76	1,471,070	647,804	823,266	1,471,070	647,804	823,266	1,481,464	653,479	827,985	1,580,914	698,292	882,622
77	1,455,330	631,884	823,446	1,455,330	631,884	823,446	1,448,948	630,792	818,156	1,430,790	626,503	804,287
78	1,400,123	602,458	797,665	1,400,123	602,458	797,665	1,401,913	602,698	799,215	1,394,574	602,268	792,306
79	1,371,195	579,234	791,961	1,371,195	579,234	791,961	1,354,761	573,846	780,915	1,344,087	572,793	771,294
80	1,308,511	543,559	764,952	1,308,511	543,559	764,952	1,319,526	549,196	770,330	1,293,211	542,585	750,626
81	1,212,865	494,870	717,995	1,212,865	494,870	717,995	1,212,428	496,075	716,353	1,253,347	516,296	737,051
82	1,161,421	462,983	698,438	1,161,421	462,983	698,438	1,158,268	462,887	695,381	1,145,240	463,352	681,888
83	1,074,809	419,831	654,978	1,074,809	419,831	654,978	1,081,344	423,067	658,277	1,087,100	429,120	657,980
84	985,721	373,131	612,590	985,721	373,131	612,590	987,096	375,826	611,270	1,007,645	388,942	618,703
85	914,723	336,819	577,904	914,723	336,819	577,904	915,186	337,854	577,332	912,455	342,295	570,160
86	814,211	293,120	521,091	814,211	293,120	521,091	821,784	295,620	526,164	838,498	304,584	533,914
87	712,908	249,803	463,105	712,908	249,803	463,105	721,262	253,750	467,512	744,870	263,247	481,623
88	640,619	217,436	423,183	640,619	217,436	423,183	636,847	216,389	420,458	646,445	223,122	423,323
89	537,998	176,689	361,309	537,998	176,689	361,309	546,274	180,526	365,748	563,400	187,338	376,062
90	435,563	136,948	298,615	435,563	136,948	298,615	448,438	141,477	306,961	476,881	153,990	322,891
91	344,987	103,799	241,188	344,987	103,799	241,188	344,601	104,362	240,239	385,732	118,628	267,104
92	281,389	81,072	200,317	281,389	81,072	200,317	288,668	83,382	205,286	291,251	85,731	205,520
93	216,978	59,037	157,941	216,978	59,037	157,941	219,019	60,137	158,882	239,362	66,945	172,417
94	169,449	43,531	125,918	169,449	43,531	125,918	170,734	43,776	126,958	178,044	47,208	130,836
95	129,717	30,951	98,766	129,717	30,951	98,766	131,000	31,679	99,321	136,043	33,557	102,486
96	95,223	21,424	73,799	95,223	21,424	73,799	97,147	21,974	75,173	102,164	23,728	78,436
97	68,138	14,556	53,582	68,138	14,556	53,582	68,914	14,743	54,171	74,162	16,060	58,102
98	45,900	9,259	36,641	45,900	9,259	36,641	47,095	9,487	37,608	51,496	10,532	40,964
99	32,266	6,073	26,193	32,266	6,073	26,193	32,241	6,090	26,151	34,412	6,594	27,818
100+	53,364	9,162	44,202	53,364	9,162	44,202	55,095	9,405	45,690	61,958	10,466	51,492
 	 	 	 	 	 	 	 	 	 	 	 	 
Median age (years)	37.2	35.8	38.5	37.2	35.8	38.5	37.2	35.9	38.5	37.3	36.0	38.7

